conta_id,trimestre,segmento,regiao,am_id,receita_brl,pedidos,linhas_produto_ativas,valor_medio_pedido_brl,recencia_dias,devolucoes_brl,desconto_medio_pct,oportunidades_abertas,oportunidades_perdidas,valor_pipeline_brl,visitas_registradas,interacoes_crm,troca_de_am_no_trimestre,status_conta,taxonomia_mix
ACC-00720,2022Q3,Estrategico,Brasil,AM-41,9123591.28,6,4,1520598.55,34,-4803.99,8.41,3,0,3134848.13,,,0,Ativa,pre_2023
ACC-00720,2022Q4,Estrategico,Brasil,AM-41,9020069.59,16,4,563754.35,26,-98757.44,8.3,0,0,3445917.91,,,0,Ativa,pre_2023
ACC-00720,2023Q1,Estrategico,Brasil,AM-41,9333662.89,12,6,777805.24,15,-80418.21,11.98,2,1,5893449.63,,,0,Ativa,pos_2023
ACC-00720,2023Q2,Estrategico,Brasil,AM-41,9126427.96,15,6,608428.53,31,-197980.51,4.9,4,2,2700704.73,7.0,12.0,0,Ativa,pos_2023
ACC-00720,2023Q3,Estrategico,Brasil,AM-41,8636910.92,13,6,664377.76,3,-4139.45,2.72,3,2,5964414.25,6.0,16.0,0,Ativa,pos_2023
ACC-00720,2023Q4,Estrategico,Brasil,AM-41,9248372.19,14,6,660598.01,24,-81414.8,13.42,2,0,3780583.99,6.0,23.0,0,Ativa,pos_2023
ACC-00720,2024Q1,Estrategico,Brasil,AM-41,9331785.99,11,6,848344.18,14,-126777.68,12.69,4,1,6706773.51,6.0,19.0,0,Ativa,pos_2023
ACC-00720,2024Q2,Estrategico,Brasil,AM-41,9417862.45,9,6,1046429.16,20,-11490.06,13.81,4,0,3003399.88,2.0,6.0,1,Ativa,pos_2023
ACC-00720,2024Q3,Estrategico,Brasil,AM-41,9239623.49,14,6,659973.11,9,-151003.66,3.79,1,0,6272502.18,6.0,12.0,0,Ativa,pos_2023
ACC-00720,2024Q4,Estrategico,Brasil,AM-41,9245926.85,14,6,660423.35,25,-190248.0,2.29,3,0,2141023.21,5.0,14.0,0,Ativa,pos_2023
ACC-00720,2025Q1,Estrategico,Brasil,AM-41,9006362.75,25,5,360254.51,20,-266521.2,4.13,2,0,3062940.68,4.0,20.0,0,Ativa,pos_2023
ACC-00720,2025Q2,Estrategico,Brasil,AM-41,7925599.22,15,4,528373.28,23,-1328.2,9.4,1,0,2618667.34,5.0,10.0,0,Ativa,pos_2023
ACC-00720,2025Q3,Estrategico,Brasil,AM-41,6419735.37,12,3,534977.95,25,-97025.7,2.67,0,0,2903563.37,2.0,6.0,0,Ativa,pos_2023
ACC-00720,2025Q4,Estrategico,Brasil,AM-41,4686406.82,7,2,669486.69,19,-62722.85,13.36,0,0,2685133.74,2.0,0.0,0,Ativa,pos_2023
ACC-00311,2022Q3,Estrategico,Mexico & Norte LATAM,AM-08,13642250.0,14,4,974446.43,14,-301142.28,3.86,1,1,8178890.71,,,0,Ativa,pre_2023
